,Team,Position,Age,No,Player,Height
0,Tor,F,23.1,5,Precious Achiuwa,6-8
1,Mem,C,29.27,4,Steven Adams,6-11
2,Mia,C-F,25.27,13,Bam Adebayo,6-9
3,Mem,F-C,21.79,7,Santi Aldama,6-11
4,Uta,G,24.15,6,Nickeil Alexander-Walker,6-6
5,Mil,G,27.05,12,Grayson Allen,6-4
6,Cle,C,24.51,31,Jarrett Allen,6-11
7,Nor,G,24.54,15,Jose Alvarado,6-0
8,Min,F-G,29.1,5,Kyle Anderson,6-9
9,Mil,F,27.89,34,Giannis Antetokounmpo,6-11
10,Mil,F,30.27,43,Thanasis Antetokounmpo,6-6
11,Orl,G,22.44,50,Cole Anthony,6-2
12,Tor,F,25.27,3,OG Anunoby,6-7
13,Nyk,G,28.58,51,Ryan Arcidiacono,6-3
14,Was,F,21.81,9,Deni Avdija,6-9
15,Pho,C,24.26,22,Deandre Ayton,6-11
16,Orl,C,24.46,11,Mo Bamba,7-0
17,Orl,F,19.95,5,Paolo Banchero,6-10
18,Mem,G,24.33,22,Desmond Bane,6-5
19,Tor,F,22.97,45,Dalano Banton,6-9
20,Sac,F,30.4,40,Harrison Barnes,6-8
21,Tor,F,21.23,4,Scottie Barnes,6-9
22,Nyk,F-G,22.36,9,RJ Barrett,6-6
23,Was,G,31.8,5,Will Barton,6-6
24,San,F,26.75,31,Keita Bates-Diop,6-8
25,Lac,G-F,33.86,33,Nicolas Batum,6-8
26,Okc,F-G,22.37,55,Darius Bazley,6-8
27,Was,G,29.33,3,Bradley Beal,6-4
28,Uta,G,25.91,5,Malik Beasley,6-4
29,Lal,G,34.29,21,Patrick Beverley,6-1
30,Det,F,23.55,41,Saddiq Bey,6-7
31,Tor,C,30.07,24,Khem Birch,6-9
32,Ind,C-F,23.27,88,Goga Bitadze,6-11
33,Pho,C,30.16,18,Bismack Biyombo,6-8
34,Det,G,22.95,27,Buddy Boeheim,6-6
35,Det,F,33.52,13,Bogdan Bogdanovic,6-6
36,Orl,C-F,22.94,10,Bol Bol,7-2
37,Uta,F,22.12,10,Leandro Bolmaro,6-6
38,Pho,G,25.98,1,Devin Booker,6-5
39,Lac,G,20.91,4,Brandon Boston Jr.,6-7
40,Tor,F-C,29.79,25,Chris Boucher,6-9
41,Cha,G,22.1,2,James Bouknight,6-5
42,Chi,C-F,24.79,13,Tony Bradley,6-10
43,Den,G,21.52,0,Christian Braun,6-7
44,Pho,F,26.15,25,Mikal Bridges,6-6
45,Ind,F-G,24.35,12,Oshae Brissett,6-7
46,Bos,G,29.87,13,Malcolm Brogdon,6-5
47,Mem,G-F,26.76,24,Dillon Brooks,6-7
48,Por,F,21.15,4,Greg Brown III,6-9
49,Den,G-F,26.19,11,Bruce Brown,6-4
50,Bos,G-F,26.0,7,Jaylen Brown,6-6
51,Lac,C,23.03,9,Moses Brown,7-2
52,Nyk,G,26.15,11,Jalen Brunson,6-1
53,Dal,G-F,31.61,25,Reggie Bullock,6-6
54,Mia,F,33.11,22,Jimmy Butler,6-7
55,Den,G,29.68,5,Kentavious Caldwell-Pope,6-5
