No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
34,Giannis Antetokounmpo,PF,6-11,242,December 6 1994,gr,9,
11,Brook Lopez,C,7-0,282,April 1 1988,us,14,Stanford
21,Jrue Holiday,PG,6-3,205,June 12 1990,us,13,UCLA
9,Bobby Portis,PF,6-10,250,February 10 1995,us,7,Arkansas
12,Grayson Allen,SG,6-4,198,October 8 1995,us,4,Duke
13,Jordan Nwora,SF,6-8,225,September 9 1998,us,2,Louisville
3,George Hill,PG,6-4,188,May 4 1986,us,14,IUPUI
25,Serge Ibaka,PF,6-10,235,September 18 1989,cg,13,
23,Wesley Matthews,SG,6-4,220,October 14 1986,us,13,Marquette
5,Jevon Carter,PG,6-1,200,September 14 1995,us,4,West Virginia
0,MarJon Beauchamp,SF,6-6,199,October 12 2000,us,R,Yakima Valley Community College
43,Thanasis Antetokounmpo,SF,6-6,219,July 18 1992,gr,4,
20,AJ Green  (TW),SG,6-4,200,September 27 1999,us,R,University of Northern Iowa
,Khris Middleton,SF,6-7,222,August 12 1991,us,10,Texas A&M
,Pat Connaughton,SG,6-5,209,January 6 1993,us,7,Notre Dame
,Joe Ingles,SF,6-8,220,October 2 1987,au,8,
0,Jayson Tatum,SF,6-8,210,March 3 1998,us,5,Duke
7,Jaylen Brown,SF,6-6,223,October 24 1996,us,6,California
13,Malcolm Brogdon,PG,6-5,229,December 11 1992,us,6,Virginia
9,Derrick White,SG,6-4,190,July 2 1994,us,5,Colorado-Colorado Springs Colorado
36,Marcus Smart,PG,6-3,220,March 6 1994,us,8,Oklahoma State
12,Grant Williams,PF,6-6,236,November 30 1998,us,3,Tennessee
30,Sam Hauser,PF,6-8,215,December 8 1997,us,1,Marquette Virginia
4,Noah Vonleh,PF,6-10,257,August 24 1995,us,7,Indiana
42,Al Horford,C,6-9,240,June 3 1986,do,15,Florida
91,Blake Griffin,PF,6-9,250,March 16 1989,us,12,Oklahoma
11,Payton Pritchard,SG,6-1,195,January 28 1998,us,2,Oregon
40,Luke Kornet,C,7-2,250,July 15 1995,us,5,Vanderbilt
43,Justin Jackson,SF,6-8,220,March 28 1995,us,5,UNC
,JD Davison  (TW),PG,6-3,195,October 3 2002,us,R,Alabama
,Danilo Gallinari,SF,6-10,233,August 8 1988,it,13,
,Mfiondu Kabengele  (TW),PF,6-9,250,August 14 1997,ca,2,Florida State
,Robert Williams,C,6-8,237,October 17 1997,us,4,Texas A&M
3,Bradley Beal,SG,6-4,207,June 28 1993,us,10,Florida
33,Kyle Kuzma,PF,6-9,221,July 24 1995,us,5,Utah
6,Kristaps Porziņģis,PF,7-3,240,August 2 1995,lv,6,
