FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Precious Achiuwa,Tor,F,23.1,4,25.7,53.5,20.6,8.4,13,0.692,27,0.444,11,0.273,0.434,0.48,10.5,11,24,0.8,4.7,0,0.25,1,7,102.7,100.7
Steven Adams,Mem,C,29.27,4,29.9,62.2,8.3,16.6,14,0.286,14,0.571,0,0,0.571,0.496,5,10,18,2,8.5,0.75,2,1,6.2,113,103
Bam Adebayo,Mia,C-F,25.27,4,35.6,74.1,21.5,23.3,15,0.867,45,0.467,1,0,0.457,0.523,13.8,8.5,13.1,2.8,12.6,0.75,0.75,4,7.8,91.9,100.6
Ochai Agbaji,Uta,0,22.51,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Santi Aldama,Mem,F-C,21.79,4,30.8,64.2,15.1,6.6,12,0.75,19,0.632,18,0.333,0.568,0.603,12.8,7.5,13.1,1,4.6,0.75,1.25,0.75,5.9,126.7,106.3
Nickeil Alexander-Walker,Uta,G,24.15,2,3.1,6.5,13.1,0,0,0,2,0.5,0,0,0.5,0.5,1,0,0,1,44.8,0,0,0,0,,
Grayson Allen,Mil,G,27.05,2,30,62.5,20.9,10.7,9,0.778,8,0.25,13,0.308,0.381,0.461,11.5,4,6.9,3,13.3,0.5,0,1.5,6.9,101.4,111.6
Jarrett Allen,Cle,C,24.51,3,33.3,69.4,14.9,8.9,8,0.75,27,0.556,0,0,0.556,0.59,12,10,18.2,1.7,7.1,0,1.67,1,7.1,130.7,106.5
Jose Alvarado,Nor,G,24.54,3,18.2,37.8,15.9,22.9,2,0.5,8,0.625,8,0.375,0.594,0.592,6.7,2.3,6.9,2.3,16.2,0.67,0.33,1.67,7.2,100.3,103.7
Kyle Anderson,Min,F-G,29.1,2,11.5,23.9,8.7,41,2,1,1,0,1,0,0,0.347,1,3,12.2,0.5,5,0.5,0.5,1,4,75.5,107.2
Giannis Antetokounmpo,Mil,F,27.89,2,31.9,66.4,35.1,10,18,0.556,31,0.742,6,0.5,0.743,0.724,32.5,12.5,20.3,5.5,38.7,0.5,1.5,2.5,16.4,132.8,100.6
Thanasis Antetokounmpo,Mil,F,30.27,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Cole Anthony,Orl,G,22.44,3,29.9,62.3,25.2,9.5,11,0.636,28,0.5,15,0.4,0.535,0.554,17.7,4.3,7.8,4,22.7,1,0.67,1.67,9,113.5,103.5
O.G. Anunoby,Tor,F,25.27,4,36.7,76.4,16,17,11,0.818,21,0.333,18,0.444,0.487,0.536,11.8,7,10.7,1.5,6.1,1.75,1,2.25,5.4,98,97.2
Ryan Arcidiacono,Nyk,G,28.58,1,1.8,3.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Deni Avdija,Was,F,21.81,3,15,31.3,13.7,14.4,2,1,6,0.333,5,0.4,0.455,0.505,4,4,15.6,1.3,11.7,1,0.33,0.67,7.3,99.2,82.9
Deandre Ayton,Pho,C,24.26,3,32.6,67.8,25.3,16,7,0.571,42,0.595,2,0.5,0.602,0.605,19,8,14,2,10.6,0.67,0.67,3,8.3,103.4,93.1
Mo Bamba,Orl,C,24.46,4,13.2,27.5,17.6,13.8,4,0.5,5,0.4,12,0.167,0.294,0.32,3,2.8,11.3,1,10.3,0.25,0,0.75,6.2,73.8,99.3
Paolo Banchero,Orl,0,19.95,4,34,70.7,30,11.5,37,0.811,52,0.5,16,0.188,0.449,0.54,22.8,7.5,11.9,3,14.8,0.75,1.5,2.75,9.4,107.7,105.2
Desmond Bane,Mem,G,24.33,4,32.5,67.7,26.3,8.4,14,0.857,31,0.355,39,0.41,0.5,0.538,20.5,4,6.6,6,28.6,1,0.5,1.75,9.7,115.8,105.8
Dalano Banton,Tor,F,22.97,4,8.9,18.4,13.7,9.2,2,1,4,0.5,5,0.2,0.389,0.455,2.3,1,6.3,0.5,8.2,0.25,0.5,0.25,4.7,100.4,100.3
Harrison Barnes,Sac,F,30.4,3,29.1,60.6,13.8,13.9,13,0.538,14,0.5,5,0,0.368,0.425,7,5.7,11.1,1.3,5.8,0.67,0.33,1.33,5.1,87.2,102.2
Scottie Barnes,Tor,F,21.23,3,27.1,56.5,25.2,15.2,5,0.6,33,0.515,4,0.5,0.541,0.548,14.3,4,8.3,4,27.4,1.33,1,2.33,9,106.3,101.5
RJ Barrett,Nyk,F-G,22.36,3,34.3,71.5,25.2,9.5,12,0.833,36,0.417,16,0.188,0.375,0.428,16.3,5.7,8,2.7,10.4,0,0.33,2,7.4,92.2,102.2
Will Barton,Was,G,31.8,3,25.9,54,21.1,21.8,4,1,19,0.421,8,0.5,0.519,0.556,10.7,3.3,7.5,2,11.2,1,0,2.67,6.4,92.6,107.3
Keita Bates-Diop,San,F,26.75,4,4.5,9.4,13.5,16.7,0,0,4,0.75,1,1,0.9,0.9,2.3,0.3,3,0,0,0,0,0.25,0,132.5,120.7
Nicolas Batum,Lac,G-F,33.86,3,17.5,36.4,6.7,12.7,2,0.5,3,0.667,3,0.667,0.833,0.799,3.7,4.3,13.4,1,8,0.67,0.33,0.33,5.7,150.2,95.7
Darius Bazley,Okc,F-G,22.37,3,14.1,29.4,12.2,7.8,4,0.5,5,0.2,5,0.6,0.55,0.553,4.3,2.7,9,2,19,0.67,1.33,0.33,8.1,124.7,103.5
Bradley Beal,Was,G,29.33,3,38.6,80.4,25.2,21.4,10,0.8,37,0.703,10,0.3,0.649,0.671,23,3.3,5.1,6.3,27.6,0.67,1,4.67,8.1,112.5,109.5
Malik Beasley,Uta,G,25.91,4,23.9,49.8,19.7,4.3,3,0.667,19,0.526,24,0.333,0.512,0.519,11.5,2.3,5,1,6,1,0.25,0.5,5,109.5,111.8
MarJon Beauchamp,Mil,0,22.03,1,2.2,4.6,20.4,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
Patrick Beverley,Lal,G,34.29,3,29.1,60.6,10.6,22.1,6,1,1,0,14,0.214,0.3,0.425,5,2.7,4.7,2.7,12.1,2.33,1.33,1.67,4.6,88.2,96.4
Saddiq Bey,Det,F,23.55,3,33.6,69.9,18.7,8.5,16,1,18,0.556,18,0.333,0.528,0.627,18,8,11.4,2,9.2,1,0.33,1.33,7.9,128.7,112.3
Khem Birch,Tor,C,30.07,1,6.6,13.8,13.5,0,0,0,2,0.5,0,0,0.5,0.5,2,2,17,0,0,0,0,0,0,122.7,96.2
Goga Bitadze,Ind,C-F,23.27,4,18.6,38.7,13.5,15.7,8,0.5,12,0.75,6,0.167,0.583,0.581,6.3,5.3,14.6,1.8,12.3,0.5,1,1,8.4,120.4,99
Bismack Biyombo,Pho,C,30.16,2,3.8,7.8,11.7,50,0,0,1,0,0,0,0,0,0,1,15.2,0.5,15.8,0,0,0.5,0,,
Buddy Boeheim,Det,0,22.95,1,1,2.1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Bojan Bogdanovic,Det,F,33.52,3,31.1,64.8,20,4.3,8,0.875,19,0.474,22,0.5,0.622,0.651,19.3,4,6.2,2.7,14.5,0.33,0,0.67,7.6,131.1,114.5
Bol Bol,Orl,C-F,22.94,4,16.1,33.5,22,15.1,5,1,23,0.696,3,0.333,0.673,0.709,10,4.8,16,0,0,0,2.75,1.25,0,121.4,107.3
Leandro Bolmaro,Uta,F,22.12,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Devin Booker,Pho,G,25.98,3,39.8,82.9,29.4,8.8,20,0.95,47,0.532,17,0.529,0.602,0.659,32,3.3,4.8,5.3,23.9,0.67,0.33,2.33,8.3,128.5,108.8
Brandon Boston,Lac,G,20.91,1,2.9,6,15.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Chris Boucher,Tor,F-C,29.79,1,11.7,24.4,22.8,16.7,0,0,3,0.667,2,1,1,1,10,2,9.6,0,0,0,1,1,0,142.2,77.3
James Bouknight,Cha,G,22.1,3,15.1,31.5,18.8,4.8,2,1,8,0.125,11,0.182,0.211,0.252,3.3,1.7,5.6,1,7.4,0.33,0,0.33,4.7,63.6,104.6
Tony Bradley,Chi,C-F,24.79,2,3.1,6.5,6.9,0,0,0,0,0,1,0,0,0,0,1.5,26,0,0,0,0,0,0,,
Christian Braun,Den,0,21.52,4,13.4,28,11.1,14.3,0,0,6,0.333,6,0.5,0.542,0.542,3.3,2.3,9.8,1.3,11.5,1,0.25,0.5,6.4,114.3,109.4
Mikal Bridges,Pho,F,26.15,3,38.4,80.1,14.4,15.9,6,0.667,24,0.542,5,0.2,0.5,0.521,11,7.3,10.9,3.7,13.2,0.33,0.67,2,7,105.8,101.2
Oshae Brissett,Ind,F-G,24.35,2,10.6,22,14.9,25,0,0,2,0,4,0.25,0.25,0.25,1.5,1.5,7.4,0,0,0,0,1,0,48.1,116.8
Malcolm Brogdon,Bos,G,29.87,4,22.9,47.7,26.5,14.6,9,0.889,28,0.5,15,0.267,0.465,0.511,12,3.8,9.4,3.3,21.2,0.75,0,2,9.3,105.3,108.9
Dillon Brooks,Mem,G-F,26.76,1,24.2,50.4,25.5,13.3,0,0,8,0.25,5,0,0.154,0.154,4,0,0,1,5.4,0,0,2,0,34.7,106.8
Greg Brown III,Por,F,21.15,1,4.1,8.5,25.8,0,1,0,2,1,0,0,1,0.82,4,0,0,0,0,0,0,0,0,105.4,121.6
Bruce Brown,Den,G-F,26.19,4,25.6,53.4,16.5,15.1,6,0.5,21,0.571,10,0.4,0.581,0.58,9.8,2.3,5.1,3.3,17,0.5,0.5,1.5,6.6,111.5,115.9
Jaylen Brown,Bos,G-F,26,4,36.4,75.8,29.4,10.3,13,0.846,53,0.547,28,0.321,0.525,0.554,24,5.5,8.6,2.8,12.5,1.25,1.5,2.5,7.9,106,108.9
Moses Brown,Lac,C,23.03,1,2.9,6,15.3,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
Jalen Brunson,Nyk,G,26.15,3,32.5,67.7,21.7,5.8,8,0.75,33,0.485,12,0.417,0.522,0.546,17.7,3.7,5.5,7,30.6,1,0,1,9.5,124.3,97.1
Reggie Bullock,Dal,G-F,31.61,2,27,56.3,10.7,14.9,1,1,2,0.5,9,0.556,0.773,0.787,9,2.5,5.5,0.5,2.6,0.5,0,1,3.3,126,98.2
Jimmy Butler,Mia,F,33.11,4,36.3,75.7,24.5,6.3,36,0.861,54,0.481,5,0.6,0.517,0.615,23,6.8,10.2,4.3,20.9,0.5,0.25,1.25,9.7,130.9,108.5
Kentavious Caldwell-Pope,Den,G,29.68,4,32.5,67.8,14.3,13.7,4,1,15,0.4,21,0.476,0.583,0.609,11.5,3.8,6.7,3.5,13.8,1.25,0.25,1.5,6.6,117.5,110.3
Vlatko Cancar,Den,F,25.54,1,1.5,3.1,28.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clint Capela,Atl,C,28.44,3,26.9,56,10.4,10.1,2,1,17,0.647,0,0,0.647,0.671,8,8.3,16,0.3,1.7,1,1.33,0.67,4,134,100.9
Wendell Carter Jr.,Orl,C-F,23.53,4,33.5,69.8,19.3,14.9,17,0.765,29,0.552,15,0.267,0.5,0.554,14.3,10.5,16.9,2.8,12.4,0.5,0.5,2.25,8.9,110.3,100
Jevon Carter,Mil,G,27.11,2,23.7,49.3,12.3,46.2,0,0,2,0.5,5,0.2,0.357,0.357,2.5,2.5,5.5,2.5,13,1.5,0,3,4.2,61.1,100.7
Alex Caruso,Chi,G,28.66,4,23.9,49.7,14.2,34.9,8,0.75,7,0.429,10,0.2,0.353,0.439,4.5,3.3,7.3,2.8,15.8,1.25,0.75,2.75,5.8,77.3,102.3
Kennedy Chandler,Mem,0,20.11,1,8.9,18.5,20.5,45,1,0,2,0,0,0,0,0,0,0,0,2,26.4,0,2,2,0,25.5,119
Max Christie,Lal,0,19.7,1,1.9,4,21.4,0,0,0,0,0,1,1,1.5,1.5,3,1,26.8,0,0,0,0,0,0,,
Josh Christopher,Hou,G,20.88,4,9.1,19,17.5,6.3,2,0.5,8,0.625,6,0,0.357,0.37,2.8,1.5,8.4,0.8,11.8,0,0,0.25,6.6,90.6,110.5
Brandon Clarke,Mem,F,26.1,4,16.8,34.9,18,17,10,0.7,18,0.722,2,0,0.65,0.676,8.3,3.8,12,1.3,11.3,0,0.5,1.25,8.2,119.4,95.3
Jordan Clarkson,Uta,G,30.38,4,32.4,67.4,24.2,18.2,9,0.778,27,0.519,32,0.406,0.568,0.588,18.5,3.8,6.2,5.3,24.1,0,0.75,3.5,8.9,109.4,112.7
Nic Claxton,Bro,F-C,23.52,3,30.6,63.7,17.7,10.7,12,0.5,28,0.75,0,0,0.75,0.721,16,9.3,17,0,0,0.67,2.67,1.33,0,133.2,106.1
Amir Coffey,Lac,G-F,25.36,2,3.8,7.8,22.9,25.8,2,0.5,2,0.5,0,0,0.5,0.521,1.5,0.5,7.2,0.5,20.3,0.5,0,0.5,7.6,,
John Collins,Atl,F-C,25.09,3,36.1,75.3,18.4,10.5,10,1,25,0.64,13,0.385,0.618,0.672,19,10.3,14.8,0.7,2.8,1.67,1.67,1.67,5.7,124,100.3
Zach Collins,San,F-C,24.93,4,14,29.2,20.5,21.2,3,0.667,15,0.6,6,0.333,0.571,0.582,6.5,2.8,10.6,2.5,25,0.5,1.75,1.5,10.2,107.1,94.5
Mike Conley,Uta,G,35.04,4,33,68.7,16.1,13.4,10,0.7,19,0.368,22,0.273,0.39,0.43,9.8,2.3,3.7,8.5,32.9,1.75,1,1.75,7,108.2,108.9
Robert Covington,Lac,F,31.86,3,16.9,35.3,12.8,6.8,6,1,4,0.5,7,0.143,0.318,0.477,4.3,5,15.9,1.3,10.7,0.67,0.67,0.33,7.2,109.6,95.7
Torrey Craig,Pho,F,31.85,3,14.7,30.6,12,8.3,0,0,3,0.667,8,0.375,0.591,0.591,4.3,3.7,14.3,1,9.3,0.33,0,0.33,6.8,127.7,105.5
Cade Cunningham,Det,G,21.08,3,33.5,69.9,25.7,14,10,0.8,31,0.419,20,0.35,0.461,0.496,18.3,4.3,6.2,7,34.4,1.33,0,3,9.8,104.7,110.2
Stephen Curry,Gol,G,34.61,3,33.4,69.5,33.7,10.6,22,1,30,0.5,36,0.444,0.591,0.661,33.3,5.3,8.9,4.3,21.4,1.67,0.33,3,10.9,123.5,105.2
Dyson Daniels,Nor,0,19.61,1,3.2,6.7,12.4,0,0,0,1,0,0,0,0,0,0,0,0,2,66.5,0,0,0,0,,
Anthony Davis,Lal,F-C,29.62,3,34.6,72.1,26.9,7.3,20,0.8,45,0.578,10,0.2,0.527,0.58,24.7,8,11.8,1,5.5,2.33,2.33,1.67,6.7,110.6,98.9
Terence Davis,Sac,G,25.44,3,17.8,37,18.5,4.2,6,0.833,9,0.667,11,0.364,0.6,0.64,9.7,2.7,8.6,1,8.2,1,0.33,0.33,6.7,131.7,86.9
Dewayne Dedmon,Mia,C,33.2,4,11.2,23.4,13.9,21.4,0,0,9,0.667,2,0.5,0.682,0.682,3.8,1.8,8.6,0.5,7.4,0,0,0.75,5.4,108.1,88.8
DeMar DeRozan,Chi,G-F,33.22,4,34.6,72,29,7.5,34,0.853,66,0.545,5,0.4,0.549,0.622,26.8,4.8,7.4,5.3,30,1.75,0.25,1.75,10.2,127.1,105.7
Hamidou Diallo,Det,G,24.24,3,11.9,24.7,14.7,0,7,0.286,9,0.222,1,0,0.2,0.229,2,2,8.1,1,11.2,0.33,0,0,5.3,71.4,106.3
Gorgui Dieng,San,C,32.77,2,10.8,22.4,13.2,0,0,0,2,1,5,0.2,0.5,0.5,3.5,2,10,3,36.2,0,1,0,10.2,135.8,97
Ousmane Dieng,Okc,0,19.43,3,13.2,27.5,12.3,8.3,0,0,6,0.167,5,0.2,0.227,0.227,1.7,2.3,8.5,1,9.6,0.33,0.67,0.33,4.8,65.5,105
Spencer Dinwiddie,Dal,G,29.55,2,28,58.2,21.5,10.8,2,0,14,0.429,10,0.6,0.625,0.603,15,2.5,5.3,2.5,14.5,0,0,1.5,6.5,109.6,97.9
Donte DiVincenzo,Gol,G,25.73,3,14,29.2,17.8,32,4,0.75,5,0.6,6,0.333,0.545,0.588,5,0.7,2.6,1,9,0.33,0,2,4.3,83.2,105.6
Luka Doncic,Dal,F-G,23.66,2,33.3,69.4,39.4,11.5,18,0.944,27,0.593,19,0.316,0.543,0.621,33.5,8,14.3,8,47.8,1.5,1,3.5,15.5,124.3,95.2
Tyler Dorsey,Dal,0,26.69,1,4.3,9,40.1,0,0,0,3,1,1,1,1.125,1.125,9,2,27.7,0,0,0,0,0,0,226,104.7
Luguentz Dort,Okc,G,23.52,3,30.8,64.2,23.3,9.4,18,0.833,20,0.4,20,0.2,0.35,0.449,14.3,5.3,8.3,2.7,12.2,2,0,1.67,7.7,101.5,99.5
Ayo Dosunmu,Chi,G,22.77,4,32.1,66.9,14.8,9.1,0,0,22,0.545,18,0.5,0.638,0.638,12.8,5.3,8.8,2.8,13.9,1,0.25,1,7.2,124,102.7
Goran Dragic,Chi,G,36.47,4,17.7,36.9,19.3,6.3,6,0.5,17,0.353,10,0.5,0.5,0.506,7.5,1,3,4,36.1,0.5,0,0.5,7,119.6,103.1
Andre Drummond,Chi,C,29.21,4,15.3,31.9,26,27.1,9,0.778,21,0.524,2,0,0.478,0.538,7.3,8.5,29.8,0.5,5.4,0.75,0.5,2.5,8.2,94.8,87
Chris Duarte,Ind,G,25.37,4,18.4,38.3,20.2,10.6,4,1,19,0.368,13,0.231,0.359,0.4,6.8,2,5.6,1,7.1,0.25,0.5,1,5.2,85.9,113.2
Kevin Durant,Bro,F,34.07,3,35.4,73.8,33.3,12.3,28,0.857,41,0.659,18,0.333,0.61,0.673,32,4.3,6.8,4,20.2,0.33,2,3.33,9.3,122.3,109.6
