Team,Division,Conference
Bos,Atlantic,East
Bro,Atlantic,East
Nyk,Atlantic,East
Phi,Atlantic,East
Tor,Atlantic,East
Chi,Central,East
Cle,Central,East
Det,Central,East
Ind,Central,East
Mil,Central,East
Den,Northwest,West
Min,Northwest,West
Okc,Northwest,West
Por,Northwest,West
Uta,Northwest,West
Gol,Pacific,West
Lac,Pacific,West
Lal,Pacific,West
Pho,Pacific,West
Sac,Pacific,West
Atl,Southeast,East
Cha,Southeast,East
Mia,Southeast,East
Orl,Southeast,East
Was,Southeast,East
Dal,Southwest,West
Hou,Southwest,West
Mem,Southwest,West
Nor,Southwest,West
San,Southwest,West
